ensembl_id	gene_name	uniprot_id
ENSG00000276885	KIR2DS4	A0A0G2JMV9
ENSG00000274957	KIR2DS4	P43632
ENSG00000274957	KIR2DS4	A0A1W2PQ83
ENSG00000274957	KIR2DS4	A0A0C4ZN30
ENSG00000274957	KIR2DS4	A0A0G2JNN1
ENSG00000274957	KIR2DS4	A0A0C4ZN05
ENSG00000274957	KIR2DS4	A0A0G2JMV9
ENSG00000278306	KIR2DS3	Q14952
ENSG00000278306	KIR2DS3	K7QT50
ENSG00000276779	KIR2DL4	A0A0C4ZNX8
ENSG00000276779	KIR2DL4	A0A0G2JNZ6
ENSG00000276779	KIR2DL4	A0A0G2JMV5
ENSG00000276779	KIR2DL4	A0A0G2JPS9
ENSG00000276779	KIR2DL4	A0A0G2JLM4
ENSG00000276779	KIR2DL4	A0A0G2JPN7
ENSG00000276779	KIR2DL4	A0A0G2JLM0
ENSG00000276779	KIR2DL4	A0A0G2JMF5
ENSG00000276779	KIR2DL4	A0A0G2JP28
ENSG00000276779	KIR2DL4	A0A0G2JMD1
ENSG00000276779	KIR2DL4	A0A0G2JNG7
ENSG00000276779	KIR2DL4	A0A0G2JNK6
ENSG00000276779	KIR2DL4	A0A376A929
ENSG00000276779	KIR2DL4	A0A0G2JPG6
ENSG00000276779	KIR2DL4	A0A0G2JPE3
ENSG00000276779	KIR2DL4	A0A0G2JNE8
ENSG00000276779	KIR2DL4	K7RE46
ENSG00000276779	KIR2DL4	Q8N736
ENSG00000276779	KIR2DL4	A0A376A8K3
ENSG00000276779	KIR2DL4	A0A0G2JNI1
ENSG00000276779	KIR2DL4	Q86U48
ENSG00000276779	KIR2DL4	A0A0B4J1S6
ENSG00000276779	KIR2DL4	A0A0G2JQ39
ENSG00000276779	KIR2DL4	E7EST5
ENSG00000276779	KIR2DL4	A0A0G2JQ13
ENSG00000276779	KIR2DL4	A0A0G2JN69
ENSG00000276779	KIR2DL4	K7QUT1
ENSG00000276779	KIR2DL4	A0A0G2JMQ9
ENSG00000276779	KIR2DL4	A0A0G2JLN0
ENSG00000277334	NCR1	A0A0G2JM44
ENSG00000277334	NCR1	A0A0G2JN91
ENSG00000277334	NCR1	M0QYD1
ENSG00000277334	NCR1	O76036
ENSG00000277334	NCR1	A0A0A0MR94
ENSG00000277334	NCR1	A0A0A0MTU0
ENSG00000277334	NCR1	A0A0G2JMJ3
ENSG00000277334	NCR1	A0A0G2JN63
ENSG00000277334	NCR1	A0A0G2JM39
ENSG00000277334	NCR1	A0A0A0MQZ0
ENSG00000277334	NCR1	A0A0G2JNH1
ENSG00000275407	KIR2DL2	P43627
ENSG00000275407	KIR2DL2	A0A0C4ZN23
ENSG00000278731	KIR2DL2	P43627
ENSG00000278731	KIR2DL2	A0A0C4ZN23
ENSG00000278074	KIR2DL4	A0A0C4ZNX8
ENSG00000278074	KIR2DL4	A0A0G2JNZ6
ENSG00000278074	KIR2DL4	A0A0G2JMV5
ENSG00000278074	KIR2DL4	A0A0G2JPS9
ENSG00000278074	KIR2DL4	A0A0G2JLM4
ENSG00000278074	KIR2DL4	A0A0G2JPN7
ENSG00000278074	KIR2DL4	A0A0G2JLM0
ENSG00000278074	KIR2DL4	A0A0G2JMF5
ENSG00000278074	KIR2DL4	A0A0G2JP28
ENSG00000278074	KIR2DL4	A0A0G2JMD1
ENSG00000278074	KIR2DL4	A0A0G2JNG7
ENSG00000278074	KIR2DL4	A0A0G2JNK6
ENSG00000278074	KIR2DL4	A0A376A929
ENSG00000278074	KIR2DL4	A0A0G2JPG6
ENSG00000278074	KIR2DL4	A0A0G2JPE3
ENSG00000278074	KIR2DL4	A0A0G2JNE8
ENSG00000278074	KIR2DL4	K7RE46
ENSG00000278074	KIR2DL4	Q8N736
ENSG00000278074	KIR2DL4	A0A376A8K3
ENSG00000278074	KIR2DL4	A0A0G2JNI1
ENSG00000278074	KIR2DL4	Q86U48
ENSG00000278074	KIR2DL4	A0A0B4J1S6
ENSG00000278074	KIR2DL4	A0A0G2JQ39
ENSG00000278074	KIR2DL4	E7EST5
ENSG00000278074	KIR2DL4	A0A0G2JQ13
ENSG00000278074	KIR2DL4	A0A0G2JN69
ENSG00000278074	KIR2DL4	K7QUT1
ENSG00000278074	KIR2DL4	A0A0G2JMQ9
ENSG00000278074	KIR2DL4	A0A0G2JLN0
ENSG00000275699	KIR2DL4	A0A0C4ZNX8
ENSG00000275699	KIR2DL4	A0A0G2JNZ6
ENSG00000275699	KIR2DL4	A0A0G2JMV5
ENSG00000275699	KIR2DL4	A0A0G2JPS9
ENSG00000275699	KIR2DL4	A0A0G2JLM4
ENSG00000275699	KIR2DL4	A0A0G2JPN7
ENSG00000275699	KIR2DL4	A0A0G2JLM0
ENSG00000275699	KIR2DL4	A0A0G2JMF5
ENSG00000275699	KIR2DL4	A0A0G2JP28
ENSG00000275699	KIR2DL4	A0A0G2JMD1
ENSG00000275699	KIR2DL4	A0A0G2JNG7
